Project,Year,Dates,Chinook,Jack Chinook,Steelhead,Wild Steelhead,Sockeye,Coho,Jack Coho,Shad,Lamprey,Bull Trout,Chum,Pink
Bonneville,1938, 3/15 - 5/31,22967,0,6630,0,1025,0,0,0,0,0,0,0
Bonneville,1939, 3/15 - 5/31,76673,0,10187,0,237,0,0,0,0,0,0,0
Bonneville,1940, 3/15 - 5/31,66358,0,6754,0,206,0,0,0,0,0,0,0
Bonneville,1941, 3/15 - 5/31,72283,0,9409,0,1351,0,0,0,0,0,0,0
Bonneville,1942, 3/15 - 5/31,40450,0,8040,0,13,0,0,0,0,0,0,0
Bonneville,1943, 3/15 - 5/31,65482,0,8722,0,9,0,0,0,0,0,0,0
Bonneville,1944, 3/15 - 5/31,30862,0,9277,0,17,0,0,0,0,0,0,0
Bonneville,1945, 3/15 - 5/31,43496,0,8987,0,581,0,0,0,0,0,0,0
Bonneville,1946, 3/15 - 5/31,67533,0,16812,0,76,0,0,0,688,0,0,0
Bonneville,1947, 3/15 - 5/31,133458,0,10733,0,5,0,0,5,9980,0,0,0
Bonneville,1948, 3/15 - 5/31,42716,0,7131,0,0,0,0,0,378,0,0,0
Bonneville,1949, 3/15 - 5/31,50073,0,6267,0,151,0,0,0,1110,0,0,0
Bonneville,1950, 3/15 - 5/31,57289,0,6941,0,0,0,0,0,207,0,0,0
Bonneville,1951, 3/15 - 5/31,114888,0,4280,0,25,0,0,0,5,0,0,0
Bonneville,1952, 3/15 - 5/31,116170,0,3228,0,7,0,0,0,8,0,0,0
Bonneville,1953, 3/15 - 5/31,170052,0,7528,0,713,0,0,0,1025,0,0,0
Bonneville,1954, 3/15 - 5/31,134720,0,7570,0,14,0,0,0,234,0,0,0
Bonneville,1955, 3/15 - 5/31,171580,0,4121,0,79,0,0,0,210,0,0,0
Bonneville,1956, 3/15 - 5/31,63414,0,5649,0,10,0,0,1,24,0,0,0
Bonneville,1957, 3/15 - 5/31,136411,0,3565,0,21,0,0,0,204,0,0,0
Bonneville,1958, 3/15 - 5/31,75165,0,2453,0,25,0,0,0,1009,0,0,0
Bonneville,1959, 3/15 - 5/31,61100,0,2042,0,155,0,0,3,90,0,0,0
Bonneville,1960, 3/15 - 5/31,69595,0,2395,0,4,0,0,0,1529,0,0,0
Bonneville,1961, 3/15 - 5/31,98668,0,2079,0,25,0,0,0,679,0,0,0
Bonneville,1962, 3/15 - 5/31,91106,0,3822,0,22,0,0,0,442,0,0,0
Bonneville,1963, 3/15 - 5/31,75323,0,2886,0,492,0,0,70,20848,0,0,0
Bonneville,1964, 3/15 - 5/31,91337,0,2754,0,570,0,0,19,2583,0,0,0
Bonneville,1965, 3/15 - 5/31,84246,0,3048,0,457,0,0,1,6728,0,0,0
Bonneville,1966, 3/15 - 5/31,112510,0,5530,0,348,0,0,94,6730,0,0,0
Bonneville,1967, 3/15 - 5/31,84748,0,2266,0,55,0,0,1,4627,0,0,0
Bonneville,1968, 3/15 - 5/31,99106,0,2412,0,426,0,0,800,14790,0,0,0
Bonneville,1969, 3/15 - 5/31,173543,0,5927,0,170,0,0,163,24430,0,0,0
Bonneville,1970, 3/15 - 5/31,110952,0,2795,0,274,0,0,252,0,0,0,0
Bonneville,1971, 3/15 - 5/31,125517,0,3648,0,70,0,0,30,0,0,0,0
Bonneville,1972, 3/15 - 5/31,186140,0,5191,0,614,0,0,38,0,0,0,0
Bonneville,1973, 3/15 - 5/31,142148,0,4731,0,17,0,0,116057,0,0,0,0
Bonneville,1974, 3/15 - 5/31,134535,0,10966,0,14,0,0,7,0,0,0,0
Bonneville,1975, 3/15 - 5/31,104104,0,9688,0,2,0,0,11,0,0,0,0
Bonneville,1976, 3/15 - 5/31,113448,0,8421,0,94,0,0,4,0,0,0,0
Bonneville,1977, 3/15 - 5/31,119508,0,9395,0,39,0,0,51709,0,0,0,0
Bonneville,1978, 3/15 - 5/31,149863,0,9664,0,3,0,0,30,0,0,0,0
Bonneville,1979, 3/15 - 5/31,51462,0,5054,0,1,0,0,800,0,0,0,0
Bonneville,1980, 3/15 - 5/31,53100,7887,5926,0,0,0,0,1460,0,0,0,0
Bonneville,1981, 3/15 - 5/31,62827,2182,8730,0,1,0,0,20978,0,0,0,0
Bonneville,1982, 3/15 - 5/31,70011,6033,10762,0,12,0,0,6889,0,0,0,0
Bonneville,1983, 3/15 - 5/31,54898,1940,3356,0,1,0,0,78106,0,0,0,0
Bonneville,1984, 3/15 - 5/31,46866,4273,6944,0,6,0,0,553,0,0,0,0
Bonneville,1985, 3/15 - 5/31,83182,7779,7930,0,16,1,0,101770,0,0,0,0
Bonneville,1986, 3/15 - 5/31,118072,4961,9819,0,2,0,0,104724,0,0,0,0
Bonneville,1987, 3/15 - 5/31,98369,3234,6020,0,1,0,0,254354,0,0,0,0
Bonneville,1988, 3/15 - 5/31,90358,4214,9496,0,11,0,0,408842,0,0,0,0
Bonneville,1989, 3/15 - 5/31,81266,5992,6009,0,3,0,0,199328,0,0,0,0
Bonneville,1990, 3/15 - 5/31,94158,2094,8030,0,0,0,0,532621,0,0,0,0
Bonneville,1991, 3/15 - 5/31,57339,3889,4918,0,0,0,0,37678,0,0,0,0
Bonneville,1992, 3/15 - 5/31,88425,2157,5849,0,20,0,0,686195,0,0,0,0
Bonneville,1993, 3/15 - 5/31,110820,1352,5197,0,7,0,0,111480,0,0,0,0
Bonneville,1994, 3/15 - 5/31,20169,397,5530,931,2,0,0,136600,0,0,0,0
Bonneville,1995, 3/15 - 5/31,10192,2371,2370,557,1,0,0,231974,0,0,0,0
Bonneville,1996, 3/15 - 5/31,51492,4686,5101,575,2,0,0,24656,0,0,0,0
Bonneville,1997, 3/15 - 5/31,114000,963,5285,553,9,0,0,97507,0,0,0,0
Bonneville,1998, 3/15 - 5/31,38342,775,2940,418,1,0,0,185811,0,0,0,0
Bonneville,1999, 3/15 - 5/31,38669,8691,2458,325,0,0,0,132782,4846,0,0,0
Bonneville,2000, 3/15 - 5/31,178302,21259,3876,1122,140,0,0,229350,2295,0,0,0
Bonneville,2001, 3/15 - 5/31,391367,14172,6196,1367,32,0,0,704113,2076,0,0,0
Bonneville,2002, 3/15 - 5/31,268813,6477,6493,1844,2,0,0,382611,1280,0,0,0
Bonneville,2003, 3/15 - 5/31,192010,14258,4308,1045,2,0,0,420265,2880,0,0,0
Bonneville,2004, 3/15 - 5/31,170152,8885,5954,1446,134,0,0,662249,1670,0,0,0
Bonneville,2005, 3/15 - 5/31,74038,4288,2621,748,16,0,0,288233,773,0,0,0
Bonneville,2006, 3/15 - 5/31,96456,2908,3165,839,9,0,0,205664,447,0,0,0
Bonneville,2007, 3/15 - 5/31,66624,16606,3511,825,36,0,0,695661,297,0,0,0
Bonneville,2008, 3/15 - 5/31,125543,17554,3774,943,53,0,0,67013,444,0,0,0
Bonneville,2009, 3/15 - 5/31,114525,66631,4508,1083,57,0,0,313849,818,0,0,0
Bonneville,2010, 3/15 - 5/31,244385,12612,7654,2052,170,0,0,45038,11,0,0,0
Bonneville,2011, 3/15 - 5/31,167097,50945,3860,1302,9,0,0,1857,281,0,0,0
Bonneville,2012, 3/15 - 5/31,158075,7591,4335,1280,80,0,0,18446,1161,0,0,0
Bonneville,2013, 3/15 - 5/31,83299,33819,2572,682,60,0,0,381393,1294,0,0,0
Bonneville,2014, 3/15 - 5/31,188078,26093,4472,984,52,0,0,487086,2601,0,0,0
Bonneville,2015, 3/15 - 5/31,220250,13312,3217,1523,314,0,0,192809,936,0,0,0
Bonneville,2016, 3/15 - 5/31,137176,11143,3252,1137,451,0,0,53855,3439,0,0,0
Bonneville,2017, 3/15 - 5/31,83616,18110,2296,661,68,0,0,16950,4219,0,0,0
Bonneville,2018, 3/15 - 5/31,87890,6456,2719,1066,40,0,0,94960,2944,0,0,0
Bonneville,2019, 3/15 - 5/31,54656,6728,1855,887,26,0,0,754337,257,0,0,0
Bonneville,2020, 3/15 - 5/31,55575,5112,1514,723,170,0,0,326212,182,0,0,0
Notes:,,,,,,,,,,,,,,
Columbia River DART,,,,,,,,,,,,,,
Adult Passage Annual Counts,,,,,,,,,,,,,,
Bonneville for 3/15 - 5/31 (Spring Chinook Run Dates),,,,,,,,,,,,,,
Generated 01 Nov 2020 07:48:50 PST. DART Adult Passage Annual Counts www.cbr.washington.edu/dart/query/adult_annual_sum.,,,,,,,,,,,,,,
Data Courtesy of U.S. Army Corps of Engineers,,,,,,,,,,,,,,
Steelhead Counts: The Steelhead parameter includes both hatchery and wild counts. Prior to 1995 ,,,,,,,,,,,,,,
wild steelhead data was not published on a daily basis. The Steelhead-Wild parameter is a subset of the total ,,,,,,,,,,,,,,
steelhead and may include unmarked hatchery fish.,,,,,,,,,,,,,,
November 14; 2004 No fish counts from the Bonneville Bradford Island fishladder.  The video of the fish counting window was unreadable. http://www.nwp.usace.army.mil/environment/fishdata.asp,,,,,,,,,,,,,,
"DART Data Citation. Columbia River DART, Columbia Basin Research, University of Washington. (2020). Adult Passage Annual Counts. Available from http://www.cbr.washington.edu/dart/query/adult_annual_sum.",,,,,,,,,,,,,,
